Publication Meta Data Fields,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code
BOLT,,"Hui Zhang, David Chiang",http://www.isi.edu/~chiang/papers/zhang-acl14.pdf,Kneser-Ney Smoothing on Expected Counts,,,
BOLT,,"Ashish Vaswani, Yinggong Zhao, Victoria Fossum,  David Chiang",http://www.isi.edu/~chiang/papers/vaswani-emnlp13.pdf,Decoding with Large-Scale Neural Language Models Improves Translation,,,
BOLT,,"Mohamed Al-Badrashiny, Ramy Eskander, Nizar Habash, Owen Rambow",Not Yet Published,Automatic Transliteration of Romanized Dialectal Arabic,,,
BOLT,,"Wael Salloum, Heba Elfardy, Linda Alamir Salloum, Nizar Habash, Mona Diab",Not Yet Published,Sentence Level Dialect Identification for Machine Translation System Selection,,,
BOLT,,"Houda Bouamor, Nizar Habash, Kemal Oflazer",Not Yet Published,A Multidialectal Parallel Corpus of Arabic,,,
BOLT,,"Mona Diab, Mohamed Al-Badrashiny, Maryam Aminian, Mohammed Attia, Pradeep Dasigi, Heba Elfardy, Ramy Eskander, Nizar Habash, Abdelati Hawwari, Wael Salloum",Not Yet Published,Tharwa: A Large Scale Dialectal Arabic - Standard Arabic - English Lexicon,,,
BOLT,,"Mohamed Maamouri, Ann Bies, Seth Kulick, Michael Ciul, Nizar Habash, Ramy Eskander",Not Yet Published,Developing an Egyptian Arabic Treebank: Impact of Dialectal Morphology on Annotation and Tool Development,,,
BOLT,,"Ines Zribi, Rahma Boujelbane, Abir Masmoudi, Mariem Ellouze, Lamia Belguith, Nizar Habash",Not Yet Published,A Conventional Orthography for Tunisian Arabic,,,
BOLT,,"Arfath Pasha, Mohamed Al-Badrashiny, Mona Diab, Ahmed El Kholy, Ramy Eskander, Nizar Habash, Manoj Pooleery, Owen Rambow, Ryan M. Roth",Not Yet Published,"MADAMIRA: A Fast, Comprehensive Tool for Morphological Analysis and Disambiguation of Arabic",,,
BOLT,,"Andreas Tsiartas, Prasanta Kumar Ghosh, Panayiotis Georgiou, Shrikanth Narayanan",Not Yet Published,Classification of Clean and Noisy Bilingual Movie Audio for Speech-to-Speech Translation Corpora Design,,,
BOLT,,"Naveen Kumar, Maarten Van Segbroeck, Kartik Audhkhasi, Peter Drotar, Shrikanth Narayanan",Not Yet Published,Fusion of Diverse Denoising Systems for Robust Automatic Speech Recognition,,,
BOLT,,"Rahul Gupta, Kartik Audhkhasi, Shrikanth Narayanan",Not Yet Published,Training Ensemble of Diverse Classifiers on Feature Subsets,,,
BOLT,,"Andreas Tsiartas, Panayiotis Georgiou, Shrikanth Narayanan",http://sail.usc.edu/aigaion2/index.php/attachments/single/618,Toward Transfer of Acoustic Cues of Emphasis Across Languages,,,
BOLT,,"Kartik Audhkhasi, Andreas Zavou, Panayiotis Georgiou, Shrikanth Narayanan",http://sail.usc.edu/aigaion2/index.php/attachments/single/637,Empirical Link Between Hypothesis Diversity and Fusion Performance in an Ensemble of Automatic Speech Recognition Systems,,,
BOLT,,"Jacob Devlin, Rabih Zbib, Zhongqiang Huang, Thomas Lamar, Richard Schwartz, John Makhoul",Not Yet Published,Fast and Robust Neural Network Joint Models for Statistical Machine Translation,,,
BOLT,,"Dennis N. Mehay, Sankaranarayanan Ananthakrishnan, Sanjika Hewavitharana",http://aclweb.org/anthology//E/E14/E14-4011.pdf,Lightly-Supervised Word Sense Translation Error Detection for an Interactive Conversational Spoken Language Translation System,,,
BOLT,,"S. Ananthakrishnan, W. Chen, R. Kumar, D. Mehay",http://workshop2013.iwslt.org/downloads/SourceError_Aware_PhraseBased_Decoding_for_Robust_Conversational_Spoken_Language_Translation.pdf,Source-Error Aware Phrase-Based Decoding for Robust Conversational Spoken Language Translation ,,,
