Publication Meta Data Fields,,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
GRAPHS,Boston University,"Alan Gabel, Sidney Redner",http://iopscience.iop.org/1742-5468/2013/02/P02043,Sublinear but never superlinear preferential attachment by local network growth,"network structure, network dynamics, network algorithms",topology analysis and generation,,90B15
GRAPHS,Boston University,"Pavel L. Krapivsky, Sidney Redner",http://iopscience.iop.org/1742-5468/2013/06/P06002,Distinct degrees and their distribution in complex networks,"network properties, network structure",,,05C80
GRAPHS,Boston University,"Alan Gabel, Pavel L. Krapivsky, Sidney Redner",http://journals.aps.org/pre/abstract/10.1103/PhysRevE.88.050802,Highly dispersed networks by enhanced redirection,"network structure, network dynamics, network algorithms",topology analysis and generation,,90B15
GRAPHS,Boston University,"Pavel L. Krapivsky, Sidney Redner",http://iopscience.iop.org/1742-5468/2014/4/P04021,Choice-driven phase transition in complex networks,"network properties, network structure, network algorithms",network topology types,,90B15
GRAPHS,Boston University,"Alan Gabel, Pavel L. Krapivsky, Sidney Redner",http://iopscience.iop.org/1742-5468/2014/4/P04009/,Highly dispersed networks generated by enhanced redirection,"network structure, network dynamics",topology analysis and generation,,90B15
GRAPHS,Boston University,"Uttam Bhat, Pavel L. Krapivsky, Sidney Redner",http://arxiv.org/abs/1408.6596,Emergence of clustering in an acquaintance model without homophily,"network types, network dynamics",,,
GRAPHS,University of Colorado,"Leto Peel, Aaron Clauset",http://outlier-analytics.org/odd14kdd/odd-2014-proceedings.pdf#section*.12,Change-point detection in temporal networks using hierarchical random graphs,"Probability and Statistics, Discrete Math, Data management systems, Information systems applications, Machine Learning","Time series analysis, Graph Theory, Probabilistic inference problems, Database design and models, Unsupervised Learning","G.2.2, G.3, E.1, H.2.8, I.5.1",62F15
GRAPHS,University of Colorado,"Leto Peel, Aaron Clauset",http://arxiv.org/pdf/1403.0989v1.pdf,Detecting change points in the large-scale structure of evolving networks,"Probability and Statistics,  Discrete Math, Data management systems, Information systems applications, Machine Learning","Graph Theory, Probabilistic inference problems, Database design and models, Unsupervised Machine Learning","G.2.2, G.3, E.1, H.2.8, I.5.1",62F15
GRAPHS,University of Colorado,"Christopher Aicher, Abigail Z Jacobs, Aaron Clauset",http://comnet.oxfordjournals.org/content/early/2014/06/26/comnet.cnu026.full.pdf+html,Learning latent block structure in weighted networks,"Probability and Statistics,  Discrete Math, Data management systems, Machine Learning","Graph Theory, Probabilistic inference problems, Probabilistic reasoning algorithms, Learning in probabilistic graphical models","G.2.2, G.3, H.2.8, I.5.1, I.5.3",62F15
GRAPHS,University of Colorado,"Daniel B Larremore, Aaron Clauset, Abigail Z Jacobs",http://arxiv.org/pdf/1403.2933v2.pdf,Efficiently inferring community structure in bipartite networks,"Probability and Statistics,  Discrete Math, Data management systems, Information systems applications","Graph Theory, Probabilistic inference problems, Probabilistic reasoning algorithms, Database design and models, Data mining","G.2.2, G.3, H.2.8, I.5.1, I.5.3",62F10
GRAPHS,University of Colorado,"Christopher Aicher, Abigail Z Jacobs, Aaron Clauset",http://arxiv.org/pdf/1305.5782v1.pdf,Adapting the Stochastic Block Model to Edge-Weighted Networks,"Probability and Statistics,  Discrete Math, Data management systems, Machine Learning","Graph Theory, Probabilistic inference problems, Probabilistic reasoning algorithms, Learning in probabilistic graphical models","G.2.2, G.3, H.2.8, I.5.1, I.5.3",62F15
GRAPHS,University of Colorado,"Sears Merritt, Abigail Z Jacobs, Winter Mason, Aaron Clauset",http://arxiv.org/pdf/1303.6372v1.pdf,Detecting friendship within online interaction networks,"Probability and Statistics, Data management systems, Information systems applications, Collaborative and social computing","Probabilistic inference problems, Multimedia information systems, Empirical studies in collaborative and social computing","G.3, H.2.8, H.5.3",62P25
GRAPHS,University of Colorado,"Winter Mason, Aaron Clauset",http://arxiv.org/pdf/1203.2268v2.pdf,"Friends FTW! Friendship, Collaboration, and Competition in Halo: Reach","Probability and Statistics, Data management systems, Information systems applications, Collaborative and social computing","Multimedia information systems, Empirical studies in collaborative and social computing","G.3, H.2.8, H.5.3",62P25
GRAPHS,University of Colorado,"Daniel L Preston, Abigail Z Jacobs, Sarah A Orlofske, Pieter T J Johnson",http://link.springer.com/article/10.1007/s00442-013-2806-5#page-1,"Complex life cycles in a pond food web: effects of life stage structure and parasites on network properties, trophic positions and the fit of a probabilistic niche model","Probability and Statistics,  Life and medical sciences","Probabilistic inference problems, Computational biology","G.3, J.3","62F10, 62P10"
GRAPHS,Temple University,"Kosta Ristovski, Vladan Radosavljevic, Slobodan Vucetic, Zoran Obradovic",http://www.dabi.temple.edu/~zoran/papers/KostaAAAI13.pdf,Continuous Conditional Random Fields for Efficient Regression in Large Fully Connected Graphs,"Data Mining, Machine Learning","Conditional Random Fields, Variational Inference, Big Data","H.2.8, G.3","68R10, 62M10"
GRAPHS,Temple University,"Vladimir Ouzienko, Zoran Obradovic",http://www.dabi.temple.edu/~zoran/papers/MachLearn2013.pdf,Imputation of Missing Links and Attributes in Longitudinal Social Surveys,"Data Mining, Machine Learning","Complex Networks,","H.2.8, G.3","68R10, 62M10"
