DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
GRAPHS ,MIT,"Hamid Mahini, Anshul Sawant",http://arxiv.org/abs/1311.5925,Scheduling a Cascade with Opposing Influences,,,F.2.2,05C85  
GRAPHS ,MIT,"Erik D. Demaine, Fedor V. Fomin, Mohammad Taghi Hajiaghayi, Dimitrois M. Thilikos ",http://drops.dagstuhl.de/opus/volltexte/2013/4013/,"Bidimensional Structures: Algorithms, Combinatorics and Logic",,,F.2.2,05C85  
GRAPHS ,MIT,"Rajesh H. Chitnis, Mohammad Taghi Hajiaghayi, Jonathan Katz, Koyel Mukherjee",http://dl.acm.org/citation.cfm?id=2486160,"Brief Announcement: A Game-Theoretic Model Motivated by the DARPA 
Network Challenge",,,F.2.2,05C85  
GRAPHS ,MIT,"Mohammad Taghi Hajiaghayi, Wei Hu, Jian Li, Shi Li, Barna Saha ",http://epubs.siam.org/doi/pdf/10.1137/1.9781611973402.129,"A Constant 
Factor Approximation Algorithm for Fault-Tolerant k-Median",,,F.2.2,05C85  
GRAPHS ,MIT,"Rajesh Chitnis, Guy Kortsarz",http://link.springer.com/chapter/10.1007%2F978-3-319-03898-8_11#page-1,Fixed-Parameter and Approximation Algorithms: A New Look,,,F.2.2,05C85  
GRAPHS ,MIT,"Erik D. Demaine, Mohammad Taghi Hajiaghayi, Hamid Mahini, David Malec, S. Raghavan, Anshul Sawant, Morteza Zadimoghaddam ",http://dl.acm.org/citation.cfm?doid=2566486.2568039,"How to Influence People with 
Partial Incentives",,,F.2.2,05C85  
GRAPHS ,MIT,"Anshul Sawant, John P. Dickerson, Mohammad Taghi Hajiaghayi, V.S. Subrahmanian ",Not Yet Published,"PREVE: A Policy Recommendation Engine based on Vector Equilibria in 
Multiplayer Games",,,F.2.2,05C85  
GRAPHS ,MIT,"John Dickerson, Anshul Sawant, V.S. Subrahmanian ",Not Yet Published,"PREVE: A Policy Recommendation Engine Based on Vector Equilibria Applied to 
Reducing LeT's Attacks",,,F.2.2,05C85  
GRAPHS ,MIT,"Mohammad Hossein Bateni, Mohammad Taghi Hajiaghayi, Philip N. Klein, Claire Mathieu",http://delivery.acm.org/10.1145/2100000/2095170/p639-bateni.pdf?ip=128.30.51.205&id=2095170&acc=ACTIVE%20SERVICE&key=7777116298C9657D.DE5F786C30E1A3B4.4D4702B0C3E38B35.4D4702B0C3E38B35&CFID=575912280&CFTOKEN=52871898&__acm__=1411758208_9d9c97f7f57d81f995f0de4857a8a645,A Polynomial-Time Approximation Scheme for Planar Multiway Cut,,,F.2.2,05C85  
GRAPHS ,MIT,"Amir Mahdi Ahmadinejad, Sina Dehghani, Mohammad Taghi Hajiaghayi, Hamid Mahini, Saeed Seddighin, Sadra Yazdanbod ",Not Yet Published,How Effective We Can Form Opinions,,,F.2.2,05C85  
GRAPHS ,MIT,"Mohammad Taghayi Hajiaghayi, Hamid Mahini, David Malec",Not Yet Published,The Polarizing Effect of Network Influences,,,F.2.2,05C85  
GRAPHS ,MIT,"Mohammad Taghi Hajiaghayi, Rohit Khandekar, Guy Kortsarz, Zeev Nutov",http://link.springer.com/chapter/10.1007%2F978-3-642-13036-6_6#page-1,The Prize-Collecting Steiner Network Problems,,,F.2.2,05C85  
GRAPHS ,MIT,"MohammadTaghi Hajiaghayi, Rohit Khandekar, M. Reza Khani, Guy Kortsarz ",http://arxiv.org/abs/1306.3739,Approximation Algorithms for Movement Repairmen,,,F.2.2,05C85  
GRAPHS ,MIT,"Marek Cygan, Mohammad Taghi Hajiaghayi, Samir Khuller ",http://arxiv.org/abs/1208.3054,"LP Rounding for 
k-Centers with Non-uniform Hard Capacities",,,F.2.2,05C85  
GRAPHS ,MIT,"Vahid Liaghat, Debmalya Panigrahi ",http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6686192,Online Node-Weighted Steiner Forest and Extensions Via Disk Paintings,,,F.2.2,05C85  
