Publication Meta Data Fields,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code
MADCAT,,"Nadi Tomeh, Nizar Habash, Ryan Roth, Noura Farra, Pradeep Dasigi, Mona Diab",http://aclweb.org/anthology/P/P13/P13-2098.pdf,Ensemble Reranking with Linguistic and Semantic Features for Arabic Character Recognition,,,
MADCAT,,"Jin Chen, Bing Zhang, Huaigu Cao, Rohit Prasad, Prem Natarajan",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6424395,Applying Discriminatively Optimized Feature Transform for HMM-based Off-Line Handwriting Recognition,,,
MADCAT,,"Jacob Devlin, Matin Kamali, Krishna Subramanian, Rohit Prasad, Prem Natarajan",http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6424408,Statistical Machine Translation as a Language Model for Handwriting Recognition,,,
MADCAT,,"Shiv Naga Prasad Vitaladevuni, Fred Choi, Rohit Prasad, Premkumar Natarajan",http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=6460143,Detecting near-duplicate document images using interest point matching,,,
MADCAT,,"Huaigu Cao, Jinying Chen, Jacob Devlin, Rohit Prasad, Prem Natarajan",http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=6460136,Document recognition and translation system for unconstrained Arabic documents,,,
MADCAT,,"Le Kang, David S. Doermann, Huaigu Cao, Rohit Prasad, Prem Natarajan",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&tp=&arnumber=6195414,Local Segmentation of Touching Characters Using Contour Based Shape Decomposition,,,
MADCAT,,"Jinying Chen, Rohit Prasad, Huaigu Cao, Premkumar Natarajan",http://ieeexplore.ieee.org/xpl/abstractKeywords.jsp?arnumber=6628765,Detecting OOV Names in Arabic Handwritten Data,,,
MADCAT,,"Premkumar Natarajan, Rohit Prasad, Huaigu Cao, Krishna Subramanian, Shirin Saleem, David Belanger, Shiv Vitaladevuni, Matin Kamali, Ehry MacRostie",http://www.springer.com/computer/image+processing/book/978-1-4471-4071-9,Arabic Text Recognition Using a Script-Independent Methodology: A Unified HMM-Based Approach for Machine-Printed and Handwritten Text,,,
MADCAT,,"Yue Wu, Brian Tracey, Premkumar Natarajan, Joseph P. Noonan",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6464516,James-Stein Type Center Pixel Weights for Non-Local Means Image Denoising,,,
MADCAT,,"Yue Wu, Brian Tracey, Premkumar Natarajan, Joseph P. Noonan",http://arxiv.org/abs/1302.5762,Probabilistic Non-Local Means,,,
MADCAT,,"Z. Shi, S. Setlur, V. Govindaraju",http://link.springer.com/chapter/10.1007/978-1-4471-4072-6_4,Preprocessing issues in Arabic OCR,,,
MADCAT,,"Z. Shi, S. Setlur, V. Govindaraju",http://dl.acm.org/citation.cfm?doid=2432553.2432565,Model Based Table Cell Detection and Content Extraction from Degraded Document Images,,,
MADCAT,,"U. Porwal, Y. Zhou, V. Govindaraju",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=6460132,Handwritten Arabic text recognition using Deep Belief Networks,,,
MADCAT,,"U. Porwal, A. Shivaram, C. Ramiah, V. Govindaraju",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6195387,Ensemble of biased learners for offline Arabic handwriting recognition,,,
MADCAT,,"U. Porwal, Z. Shi, S. Setlur",http://www.sciencedirect.com/science/article/pii/B9780444538598000187,Machine Learning in Handwritten Arabic Text Recognition,,,
MADCAT,,"Qixiang Ye, D. Doermann",www.icdar2013.org,Scene Text Detection via Integrated Discrimination of Component Appearance and Consensus,,,
MADCAT,,"Jayant Kumar, David Doermann",www.icdar2013.org,Unsupervised Classification of Structurally Similar Document Images,,,
MADCAT,,"Peng Ye, David Doermann",www.icdar2013.org,Document Image Quality Assessment: A Brief Survey,,,
MADCAT,,"Jinyu Zuo, Esin Darici",http://www.cubs.buffalo.edu/MOCR2013,A robust table registration method for batch table OCR processing,,,
MADCAT,,"Jinying Chen, Huaigu Cao, Prem Natarajan",www.iapr.org,Integrating Natural Language Processing with Image Document Analysis: What We Learned from Two real World Applications,,,
MADCAT,,"Arpit Jain, Xujun Peng, Xiaodan Zhuang, Pradeep Natarajan, Huaigu Cao",www.icassp2014.org,Text Detection and Recognition in Natural Scences and Consumer Videos,,,
MADCAT,,"Jinying Chen, Rohit Prasad, Huaigu Cao, Premkumar Natarajan",www.icdar2013.org,Detecting OOV Names in Arabic Handwritten Data,,,
MADCAT,,"Wang Ke, Huaigu Cao, Xujun Peng, Rohit Prasad, Prem Natarajan",www.icdar2013.org,Using Models for Automatic Classification and Segmentation of Tables in Noisy Offline Images,,,
MADCAT,,"Huaigu Cao, Xujun Peng, Wang Ke, Rohit Prasad, Prem Natarajan",www.icdar2013.org,Table Form Detection and Segmentation Using an Iterative Registration Algorithm,,,
