Publication Meta Data Fields,,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
MADCAT,,"Wael Abd-Almageed, Jayant Kumar, David S. Doermann",http://www.informatik.uni-trier.de/~ley/db/conf/icdar/icdar2009.html,Page Rule-Line Removal Using Linear Subspaces in Monochromatic Handwritten Arabic Documents,,,,
MADCAT,,"Mudit Agrawal, David S. Doermann",http://www.informatik.uni-trier.de/~ley/db/conf/icdar/icdar2009.html,Voronoi++: A Dynamic Page Segmentation Approach Based on Voronoi and Docstrum Features,,,,
MADCAT,,"Shirin Saleem, Huaigu Cao, Krishna Subramanian, Matin Kamali, Rohit Prasad, Premkumar Natarajan",http://www.informatik.uni-trier.de/~ley/db/conf/icdar/icdar2009.html,Improvements in BBN's HMM-Based Offline Arabic Handwriting Recognition System,,,,
MADCAT,,"Huaigu Cao, Rohit Prasad, Shirin Saleem, Premkumar Natarajan",http://www.informatik.uni-trier.de/~ley/db/conf/icdar/icdar2009.html,Unsupervised HMM Adaptation Using Page Style Clustering,,,,
MADCAT,,"Premkumar Natarajan, Krishna Subramanian, Anurag Bhardwaj, Rohit Prasad",http://www.informatik.uni-trier.de/~ley/db/conf/icdar/icdar2009.html,Stochastic Segment Modeling for Offline Handwriting Recognition,,,,
MADCAT,,"Zhixin Shi, Srirangaraj Setlur, Venu Govindaraju",http://www.informatik.uni-trier.de/~ley/db/conf/icdar/icdar2009.html,A Steerable Directional Local Profile Technique for Extraction of Handwritten Arabic Text Lines,,,,
MADCAT,,"Jin Chen, Huaigu Cao, Rohit Prasad, Anurag Bhardwaj, Premkumar Natarajan",http://www.cubs.buffalo.edu/DAS2010/,Gabor Features for Offline Arabic Handwriting Recognition,,,,
MADCAT,,"Ehry MacRostie, Rohit Prasad, Stephen Rawls, Matin Kamali, Huaigu Cao, Krishna Subramanian, Premkumar Natarajan",http://www.cubs.buffalo.edu/DAS2010/,The BBN Document Analysis Service: A Platform for Multilingual Document Translation,,,,
MADCAT,,"Mudit Agrawal, David S. Doermann",http://www.cubs.buffalo.edu/DAS2010/,Context-Aware and Content-Based Dynamic Voronoi Page Segmentation,,,,
MADCAT,,"Jayant Kumar, Wael Abd-Almageed, Le Kang, David S. Doermann",http://www.cubs.buffalo.edu/DAS2010/,Handwritten Arabic Text Line Segmentation Using Affinity Propagation,,,,
MADCAT,,"Huaigu Cao, Rohit Prasad, Prem Natarajan",http://www.isical.ac.in/~icfhr2010/index.html,Improvements in HMM Adaptation for Handwriting Recognition Using Writer Identification and Duration Adaptation,,,,
MADCAT,,"Rohit Prasad, Anurag Bhardwaj, Krishna Subramanian, Huaigu Cao, Premkumar Natarajan",http://www.interaction-design.org/references/conferences/20th_international_conference_on_pattern_recognition_-_icpr_2010.html,Stochastic Segment Model Adaptation for Offline Handwriting Recognition,,,,
MADCAT,,"Rohit Prasad, Matin Kamali, David Belanger, Antti-Veikko I. Rosti, Spyros Matsoukas, Prem Natarajan",http://www.interaction-design.org/references/conferences/20th_international_conference_on_pattern_recognition_-_icpr_2010.html,Consensus Network Based Hypotheses Combination for Arabic Offline Handwriting Recognition,,,,
MADCAT,,"Zhixin Shi, Srirangaraj Setlur, Venu Govindaraju",http://www.interaction-design.org/references/conferences/20th_international_conference_on_pattern_recognition_-_icpr_2010.html,Removing Rule-Lines from Binary Handwritten Arabic Document Images Using Directional Local Profile,,,,
MADCAT,,"Gulcin Caner, Ismail Haritaoglu",http://www.interaction-design.org/references/conferences/20th_international_conference_on_pattern_recognition_-_icpr_2010.html,Shape-DNA: Effective Character Restoration and Enhancement for Arabic Text Documents,,,,
MADCAT,,"Jayant Kumar, Rohit Prasad, Huaigu Cao, Wael Abd-Almageed, David S. Doermann, Premkumar Natarajan",http://spie.org/electronic-imaging.xml,Shape Codebook Based Handwritten and Machine Printed Text Zone Extraction,,,,
MADCAT,,"Mudit Agrawal, David S. Doermann",http://www.icdar2011.org/,Stroke-Like Pattern Noise Removal in Binary Document Images,,,,
MADCAT,,"Jayant Kumar, Le Kang, David S. Doermann, Wael Abd-Almageed",http://www.icdar2011.org/,Segmentation of Handwritten Textlines in Presence of Touching Components,,,,
MADCAT,,"Le Kang, David S. Doermann",http://www.icdar2011.org/,Template Based Segmentation of Touching Components in Handwritten Text Lines ,,,,
MADCAT,,"Jayant Kumar, David S. Doermann",http://www.icdar2011.org/,Fast Rule-Line Removal Using Integral Images and Support Vector Machines,,,,
MADCAT,,"Jayant Kumar, Jaishanker Pillai, David S. Doermann",http://www.icdar2011.org/,Document Image Classification and Labeling Using Multiple Instance Learning,,,,
MADCAT,,"Vasant Manohar, Shiv Naga Prasad Vitaladevuni, Huaigu Cao, Rohit Prasad, Prem Natarajan",http://www.icdar2011.org/,Graph Clustering-Based Ensemble Method for Handwritten Text Line Segmentation,,,,
MADCAT,,"Huaigu Cao, Rohit Prasad, Prem Natarajan",http://www.icdar2011.org/,OCR-Driven Writer Identification and Adaptation in an HMM Handwriting Recognition System,,,,
